Index,Plate Appearance (season),Date,Hands on Swing,Handedness,Outcome,EV,LA,Air/Ground,Outcome Direction,Pitch Location,Pitch Velo,2 strikes,,,
212,102,5/13/23,1,R,K,,,,,12,96,y,,,
213,103,5/14/23,1,L,Miss,,,,,7,80,n,,,
214,103,5/14/23,1,L,Foul,,,,,4,87,y,,,
215,103,5/14/23,1,L,Foul,84.8,-5,,,12,80,y,,,
216,103,5/14/23,2,L,Foul,75.2,7,,,12,89,y,,,
217,103,5/14/23,1,L,Single,98.1,0,,9,5,86,y,,,
218,104,6/9/23,1,L,3-Apr,79.5,-19,G,4,1,90,n,,,
219,105,6/9/23,1,L,Foul,106.9,38,,,10,90,n,,,
220,105,6/9/23,1,L,Foul,91.9,19,,,12,90,n,,,
221,106,6/9/23,1,L,Foul,74.9,-20,,,5,86,n,,,
222,106,6/9/23,1,L,F9,92.6,22,A,9,1,90,n,,,
223,107,6/10/23,2,R,Single,104.4,-1,,8,8,93,y,,,
224,108,6/10/23,2,R,Foul,91.3,50,,,8,93,n,,,
225,108,6/10/23,2,R,Miss,,,,,1,86,n,,,
226,108,6/10/23,2,R,Single,103.2,12,,8,7,81,y,,,
227,109,6/10/23,2,L,HR,104.8,38,,9,4,92,n,,,
228,110,6/11/23,Bunt,L,Foul,57.6,58,,,10,99,n,,,
229,110,6/11/23,2,L,Double,100.1,22,,,7,99,y,,,
230,111,6/11/23,2,L,Foul,,,,,3,99,y,,,
231,111,6/11/23,Check,L,K,,,,,13,89,y,,,
232,112,6/11/23,2,L,Miss,,,,,7,83,n,,,
233,112,6/11/23,2,L,P6,90.6,77,A,6,2,95,n,,,
234,113,6/12/23,2,L,3U,101.6,5,G,3,5,91,n,,,
235,114,6/12/23,1,L,Miss,,,,,12,86,n,,,
236,115,6/12/23,1,L,3U,84.4,-13,G,3,8,92,n,,,
237,116,6/12/23,2,L,F8,95.8,29,A,8,5,102,y,,,
238,117,6/13/23,1,L,3-Apr,84.7,-15,G,4,13,88,n,,,
239,118,6/13/23,2,L,Foul,76.8,71,,,2,94,n,,,
240,118,6/13/23,1,L,3-Jan,93.9,-13,G,1,9,89,n,,,
241,119,6/13/23,1,L,Foul,68.7,44,,,13,96,n,,,
242,119,6/13/23,2,L,3-Apr,97.9,-13,G,4,9,82,n,,,
243,120,6/13/23,2,L,Foul,101.8,9,,,1,94,n,,,
244,121,6/14/23,1,L,Foul,76.3,39,,,1,94,n,,,
245,121,6/14/23,2,L,Single,103.1,17,,9,2,93,y,,,
246,122,6/14/23,1,L,Single,89.7,18,,9,6,86,n,,,
247,123,6/14/23,1,L,K,,,,,6,86,y,,,
248,124,6/14/23,1,L,Foul,73.3,-32,,,5,96,n,,,
249,124,6/14/23,1,L,3-Apr,89.8,-29,G,4,4,96,n,,,
250,125,6/16/23,1,L,Foul,73.6,62,,,1,96,n,,,
251,125,6/16/23,Check,L,Foul,65.3,47,,,10,95,y,,,
252,125,6/16/23,2,L,Foul,68.9,72,,,5,84,y,,,
253,125,6/16/23,1,L,K,,,,,8,84,y,,,
254,126,6/17/23,2,R,Foul,70.8,60,,,6,88,n,,,
255,126,6/17/23,2,R,Single,67.8,21,,7,11,81,n,,,
256,127,6/18/23,2,L,Foul,68.5,40,,,6,93,n,,,
257,128,6/18/23,1,L,1-Mar,90.3,-25,G,3,12,85,n,,,
258,129,6/18/23,2,L,Foul,73.7,51,,,9,93,n,,,
259,129,6/18/23,2,L,F8,79.5,32,A,8,4,94,n,,,
260,130,6/18/23,2,R,Miss,,,,,12,90,n,,,
261,130,6/18/23,2,R,Foul,86.5,-13,,,8,89,n,,,
262,130,6/18/23,2,R,3U,100.8,4,G,3,10,90,y,,,
263,131,6/18/23,1,L,Foul,76,-20,,,12,90,n,,,
264,131,6/18/23,1,L,K,,,,,14,80,y,,,
265,132,6/20/23,1,R,Foul,63.5,62,,,6,95,n,,,
266,132,6/20/23,2,R,HR,106,25,,8,8,95,n,,,
267,133,6/20/23,2,R,Miss,,,,,13,89,n,,,
268,133,6/20/23,2,R,Foul,72.3,55,,,2,94,n,,,
269,133,6/20/23,2,R,HR,101.6,27,,7,5,94,y,,,
270,134,6/20/23,1,L,Foul,80.7,38,,,11,94,y,,,
271,134,6/20/23,2,L,Foul,88.7,40,,,6,94,y,,,
272,134,6/20/23,1,L,Foul,75.1,-20,,,5,83,y,,,
273,134,6/20/23,1,L,3-Apr,81.2,-8,G,4,5,82,y,,,
274,135,6/20/23,2,L,L7,99.4,20,A,7,6,99,n,,,
275,136,6/21/23,1,L,3U,68.5,0,G,3,8,77,n,,,
276,137,6/21/23,1,L,Single,65.9,22,,9,13,77,n,,,
277,138,6/21/23,1,L,3-Jun,85.3,-3,G,6,5,98,n,,,
278,139,6/21/23,2,L,Foul,,,,,6,82,n,,,
